账单日期,类别,一级分类,二级分类,金额,客户/供应商,备注
2021/8/12,支出,日常运营,车辆燃油费（汽油）,-253,G331青富阿一标四工区桥涵队-,付小货车加油款
2021/8/12,支出,机械物料,二三项料,-375,G331青富阿一标四工区桥涵队-青河腾博建材,付方木50根
2021/8/10,支出,机械物料,周转材料,-1397,G331青富阿一标四工区桥涵队-青河废品站,付钢管77根、铁皮3张
2021/8/10,支出,办公费用,房租水电物管,-333,G331青富阿一标四工区桥涵队-,付房东克孜尔电费
2021/8/9,支出,机械物料,机械租赁,-500,G331青富阿一标四工区桥涵队-,付随车吊卸钢筋款
2021/8/9,支出,日常运营,车辆燃油费（汽油）,-505,G331青富阿一标四工区桥涵队-中石油阿勒泰销售公司,付汽油桶、小货车加油款
2021/8/9,支出,机械物料,工机具,-356,G331青富阿一标四工区桥涵队-青河昌达五金机电商店,购工机具一批
2021/8/9,支出,机械物料,工机具,-200,G331青富阿一标四工区桥涵队-青河废品站,购塑料柴油桶2个
2021/8/9,支出,办公费用,招待费,-448,G331青富阿一标四工区桥涵队-,付3人晚就餐招待费
2021/8/8,支出,机械物料,运费,-2800,G331青富阿一标四工区桥涵队-,付乌市-青河模板、方木、架管货车运费
2021/8/7,支出,日常运营,生活用品,-103,G331青富阿一标四工区桥涵队-,瓶装矿泉水3件
2021/8/7,支出,机械物料,机械租赁,-1200,G331青富阿一标四工区桥涵队-,14吨随车吊卸钢筋
2021/8/7,支出,日常运营,生活用品,-61,G331青富阿一标四工区桥涵队-,烟酒款
2021/8/7,支出,机械物料,燃油费（柴油）,-1308,G331青富阿一标四工区桥涵队-,机械加油200L油桶
2021/8/6,支出,日常运营,车辆燃油费（汽油）,-986.6,G331青富阿一标四工区桥涵队-,5人拜城-青河车辆燃油费
2021/8/6,支出,办公费用,交通费,-372,,5人拜城-青河过路费
2021/8/6,支出,办公费用,交通费,-835,G331青富阿一标四工区桥涵队-,5人拜城-青河住宿、餐费
2021/8/5,支出,日常运营,车辆维修租赁,-282,G331青富阿一标四工区桥涵队-,C37面包车换轮胎、刹车、洗车等
